File_Name,Transcription,Ground_Truth
1089-134686-0011.flac,"On Saturday mornings when the so-dality met in the chapel to recite the little office, his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses.",ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES
1089-134686-0012.flac,"Her eyes seemed to regard him with mild pity. Her holiness, a strange light glowing faintly upon her frail flesh, did not humiliate the sinner who approached her.",HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER
1089-134686-0013.flac,"If ever he was impelled to cast sin from him and to repent, the impulse that moved him was the wish to be her knight.",IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER KNIGHT
1089-134686-0014.flac,He tried to think how it could be.,HE TRIED TO THINK HOW IT COULD BE
1089-134686-0015.flac,but the dusk deepening in the school room covered over his thoughts. The bell rang.,BUT THE DUSK DEEPENING IN THE SCHOOLROOM COVERED OVER HIS THOUGHTS THE BELL RANG
1089-134686-0016.flac,Then you can ask him questions on the cataclysm deadelist.,THEN YOU CAN ASK HIM QUESTIONS ON THE CATECHISM DEDALUS
1089-134686-0017.flac,"Stephen, leaning back and drawing idly on his scribbler, listened to the talk about him which heren checked from time to time by saying,",STEPHEN LEANING BACK AND DRAWING IDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HERON CHECKED FROM TIME TO TIME BY SAYING
1089-134686-0018.flac,"It was strange, too, that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation.",IT WAS STRANGE TOO THAT HE FOUND AN ARID PLEASURE IN FOLLOWING UP TO THE END THE RIGID LINES OF THE DOCTRINES OF THE CHURCH AND PENETRATING INTO OBSCURE SILENCES ONLY TO HEAR AND FEEL THE MORE DEEPLY HIS OWN CONDEMNATION
1089-134686-0019.flac,"The sentence of St. James, which says that he who offends against one commandment becomes guilty of all, had seemed to him first a swollen phrase until he had begun to grow in the darkness of his own state.",THE SENTENCE OF SAINT JAMES WHICH SAYS THAT HE WHO OFFENDS AGAINST ONE COMMANDMENT BECOMES GUILTY OF ALL HAD SEEMED TO HIM FIRST A SWOLLEN PHRASE UNTIL HE HAD BEGUN TO GROPE IN THE DARKNESS OF HIS OWN STATE
1089-134686-0020.flac,"If a man had stolen a pound in his youth and had used that pound to amass a huge fortune, how much was he obliged to give back? The pound he had stolen only, or the pound together with the compound interest accruing upon it, or all his huge fortune?",IF A MAN HAD STOLEN A POUND IN HIS YOUTH AND HAD USED THAT POUND TO AMASS A HUGE FORTUNE HOW MUCH WAS HE OBLIGED TO GIVE BACK THE POUND HE HAD STOLEN ONLY OR THE POUND TOGETHER WITH THE COMPOUND INTEREST ACCRUING UPON IT OR ALL HIS HUGE FORTUNE
1089-134686-0021.flac,If a layman in giving baptism poor the water before saying the words is the child baptized.,IF A LAYMAN IN GIVING BAPTISM POUR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED
1089-134686-0022.flac,How comes it that while the first Battitude promises the kingdom of heaven to the poor of heart? The second Battitude promises also to the meek that they shall possess the land.,HOW COMES IT THAT WHILE THE FIRST BEATITUDE PROMISES THE KINGDOM OF HEAVEN TO THE POOR OF HEART THE SECOND BEATITUDE PROMISES ALSO TO THE MEEK THAT THEY SHALL POSSESS THE LAND
1089-134686-0023.flac,"Why was the sacrament of the Eucharist instituted under the two species of bread and wine if Jesus Christ be present body and blood, soul and divinity in the bread alone and in the wine alone?",WHY WAS THE SACRAMENT OF THE EUCHARIST INSTITUTED UNDER THE TWO SPECIES OF BREAD AND WINE IF JESUS CHRIST BE PRESENT BODY AND BLOOD SOUL AND DIVINITY IN THE BREAD ALONE AND IN THE WINE ALONE
1089-134686-0024.flac,"If the wine change into vinegar and the host crumble into corruption after they have been consecrated, is Jesus Christ still present under their species as God and as man?",IF THE WINE CHANGE INTO VINEGAR AND THE HOST CRUMBLE INTO CORRUPTION AFTER THEY HAVE BEEN CONSECRATED IS JESUS CHRIST STILL PRESENT UNDER THEIR SPECIES AS GOD AND AS MAN
1089-134686-0025.flac,A gentle kick from the tall boy in the bench behind urged Stephen to ask a difficult question.,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION
1089-134686-0026.flac,The rector did not ask for a catacysm to hear the lesson from.,THE RECTOR DID NOT ASK FOR A CATECHISM TO HEAR THE LESSON FROM
1089-134686-0027.flac,"He clashed his hands on the desk and said,",HE CLASPED HIS HANDS ON THE DESK AND SAID
1089-134686-0028.flac,The retreat will begin on Wednesday afternoon in honor of St. Francis Xavier whose feast day is Saturday.,THE RETREAT WILL BEGIN ON WEDNESDAY AFTERNOON IN HONOUR OF SAINT FRANCIS XAVIER WHOSE FEAST DAY IS SATURDAY
1089-134686-0029.flac,"On Friday, confession will be heard all the afternoon after beads.",ON FRIDAY CONFESSION WILL BE HEARD ALL THE AFTERNOON AFTER BEADS
1089-134686-0030.flac,Beware of making that mistake.,BEWARE OF MAKING THAT MISTAKE
1089-134686-0031.flac,Stevens' heart began slowly to fold and fade with fear like a withering flower.,STEPHEN'S HEART BEGAN SLOWLY TO FOLD AND FADE WITH FEAR LIKE A WITHERING FLOWER
1089-134686-0032.flac,He is called as you know the apostle of the Indies.,HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES
1089-134686-0033.flac,"A great saint, Saint Francis Xavier.",A GREAT SAINT SAINT FRANCIS XAVIER
1089-134686-0034.flac,The rector paused and then shaking his clasp to hands before him went on.,THE RECTOR PAUSED AND THEN SHAKING HIS CLASPED HANDS BEFORE HIM WENT ON
1089-134686-0035.flac,He had the faith in him that moves mountains.,HE HAD THE FAITH IN HIM THAT MOVES MOUNTAINS
1089-134686-0036.flac,A great Saint Francis Xavier.,A GREAT SAINT SAINT FRANCIS XAVIER
1089-134686-0037.flac,"In the silence, their dark fire canddle the dusk into a tony glow.",IN THE SILENCE THEIR DARK FIRE KINDLED THE DUSK INTO A TAWNY GLOW
1089-134691-0000.flac,He could wait no longer.,HE COULD WAIT NO LONGER
1089-134691-0001.flac,"for a full hour he had paced up and down waiting, but he could wait no longer.",FOR A FULL HOUR HE HAD PACED UP AND DOWN WAITING BUT HE COULD WAIT NO LONGER
1089-134691-0002.flac,"He set off abruptly for the bull, walking rapidly, left his father's shrill whistle might call him back. And in a few moments he had rounded the curve at the police barrack and was safe.",HE SET OFF ABRUPTLY FOR THE BULL WALKING RAPIDLY LEST HIS FATHER'S SHRILL WHISTLE MIGHT CALL HIM BACK AND IN A FEW MOMENTS HE HAD ROUNDED THE CURVE AT THE POLICE BARRACK AND WAS SAFE
1089-134691-0003.flac,the university.,THE UNIVERSITY
1089-134691-0004.flac,"Pride after satisfaction uplifted him like long, slow waves.",PRIDE AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES
1089-134691-0005.flac,whose feet are as the feet of hearts and underneath the everlasting arms.,WHOSE FEET ARE AS THE FEET OF HARTS AND UNDERNEATH THE EVERLASTING ARMS
1089-134691-0006.flac,The pride of that dim image brought back to his mind that dignity of the office he had refused.,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED
1089-134691-0007.flac,Soon the whole bridge was trembling and resounding.,SOON THE WHOLE BRIDGE WAS TREMBLING AND RESOUNDING
1089-134691-0008.flac,"The uncouth faces past him two by two, stained yellow or red or live it by the sea, and as he strove to look at them with ease and indifference, a faint stain of personal shame and commiseration rose to his own face.",THE UNCOUTH FACES PASSED HIM TWO BY TWO STAINED YELLOW OR RED OR LIVID BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMMISERATION ROSE TO HIS OWN FACE
1089-134691-0009.flac,"Angry with himself, he tried to hide his face from their eyes by gazing down sideways into the shallow swirling water under the bridge, but he still saw a reflection therein of their top heavy silkats, and humble tape-like collars, and loosely hanging clerical clothes. Brother Hikki!",ANGRY WITH HIMSELF HE TRIED TO HIDE HIS FACE FROM THEIR EYES BY GAZING DOWN SIDEWAYS INTO THE SHALLOW SWIRLING WATER UNDER THE BRIDGE BUT HE STILL SAW A REFLECTION THEREIN OF THEIR TOP HEAVY SILK HATS AND HUMBLE TAPE LIKE COLLARS AND LOOSELY HANGING CLERICAL CLOTHES BROTHER HICKEY
1089-134691-0010.flac,Brother Maccardle Brother Kyoff,BROTHER MAC ARDLE BROTHER KEOGH
1089-134691-0011.flac,"Their piety would be like their names, like their faces, like their clothes, and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far Richard tribute of devotion than his had ever been. A gift tenfold more acceptable than his elaborate adoration.",THEIR PIETY WOULD BE LIKE THEIR NAMES LIKE THEIR FACES LIKE THEIR CLOTHES AND IT WAS IDLE FOR HIM TO TELL HIMSELF THAT THEIR HUMBLE AND CONTRITE HEARTS IT MIGHT BE PAID A FAR RICHER TRIBUTE OF DEVOTION THAN HIS HAD EVER BEEN A GIFT TENFOLD MORE ACCEPTABLE THAN HIS ELABORATE ADORATION
1089-134691-0012.flac,"It was idle for him to move himself to be generous towards them, to tell himself that if he ever came to their gates, stripped of his pride, beaten and in beggars' weeds, that they would be generous towards him, loving him as themselves.",IT WAS IDLE FOR HIM TO MOVE HIMSELF TO BE GENEROUS TOWARDS THEM TO TELL HIMSELF THAT IF HE EVER CAME TO THEIR GATES STRIPPED OF HIS PRIDE BEATEN AND IN BEGGAR'S WEEDS THAT THEY WOULD BE GENEROUS TOWARDS HIM LOVING HIM AS THEMSELVES
1089-134691-0013.flac,"Idle and in bittering finally to argue against his own dispassionate certitude that the commandment of love made us not to love our neighbor as ourselves with the same amount and intensity of love, but to love him as ourselves with the same kind of love.",IDLE AND EMBITTERING FINALLY TO ARGUE AGAINST HIS OWN DISPASSIONATE CERTITUDE THAT THE COMMANDMENT OF LOVE BADE US NOT TO LOVE OUR NEIGHBOUR AS OURSELVES WITH THE SAME AMOUNT AND INTENSITY OF LOVE BUT TO LOVE HIM AS OURSELVES WITH THE SAME KIND OF LOVE
1089-134691-0014.flac,The phrase and the day and the scene harmonized in a chord.,THE PHRASE AND THE DAY AND THE SCENE HARMONIZED IN A CHORD
1089-134691-0015.flac,Words. Was it their colors?,WORDS WAS IT THEIR COLOURS
1089-134691-0016.flac,"They were voicing across the deserts of the sky, a host of nomads on the march, voicing high over Ireland, westward bound.",THEY WERE VOYAGING ACROSS THE DESERTS OF THE SKY A HOST OF NOMADS ON THE MARCH VOYAGING HIGH OVER IRELAND WESTWARD BOUND
1089-134691-0017.flac,"The Europe they had come from lay out there beyond the iris sea, Europe of strange tongues and valid and would begot and citadel and of entrenched and martled races.",THE EUROPE THEY HAD COME FROM LAY OUT THERE BEYOND THE IRISH SEA EUROPE OF STRANGE TONGUES AND VALLEYED AND WOODBEGIRT AND CITADELLED AND OF ENTRENCHED AND MARSHALLED RACES
1089-134691-0018.flac,"Again, again.",AGAIN AGAIN
1089-134691-0019.flac,A voice from beyond the world was calling.,A VOICE FROM BEYOND THE WORLD WAS CALLING
1089-134691-0020.flac,"Hello, Stefanos. Here comes the deadless.",HELLO STEPHANOS HERE COMES THE DEDALUS
1089-134691-0021.flac,"Their diving stone poised on its rude supports and rocking under their plunges, and the rough-hune stones of the sloping breakwater over which they scrambled in their horse play gleamed with cold wet luster.",THEIR DIVING STONE POISED ON ITS RUDE SUPPORTS AND ROCKING UNDER THEIR PLUNGES AND THE ROUGH HEWN STONES OF THE SLOPING BREAKWATER OVER WHICH THEY SCRAMBLED IN THEIR HORSEPLAY GLEAMED WITH COLD WET LUSTRE
1089-134691-0022.flac,He stood still in difference to their calls and parried their banter with easy words.,HE STOOD STILL IN DEFERENCE TO THEIR CALLS AND PARRIED THEIR BANTER WITH EASY WORDS
1089-134691-0023.flac,It was a pain to see them and a sword like pain to see the signs of adolescence that made repellent their pitiful nakedness.,IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF ADOLESCENCE THAT MADE REPELLENT THEIR PITIABLE NAKEDNESS
1089-134691-0024.flac,Steffinos dead loss,STEPHANOS DEDALOS
1089-134691-0025.flac,"A moment before, the ghost of the ancient kingdom of the Danes had looked forth through the vester of the He's wrapped city.",A MOMENT BEFORE THE GHOST OF THE ANCIENT KINGDOM OF THE DANES HAD LOOKED FORTH THROUGH THE VESTURE OF THE HAZEWRAPPED CITY
1188-133604-0000.flac,"You will find me continually speaking of foreman, Titian, Holbein, Turner, and Tintarat, in almost the same terms.",YOU WILL FIND ME CONTINUALLY SPEAKING OF FOUR MEN TITIAN HOLBEIN TURNER AND TINTORET IN ALMOST THE SAME TERMS
1188-133604-0001.flac,"They unite every quality, and sometimes you will find me referring to them as colorists, sometimes as kira-skurists.",THEY UNITE EVERY QUALITY AND SOMETIMES YOU WILL FIND ME REFERRING TO THEM AS COLORISTS SOMETIMES AS CHIAROSCURISTS
1188-133604-0002.flac,"By being studious of color they are studious of division, and while the cure of skurus devotes himself to the representation of degrees of force and one thing, unsapparatated light. The colorists have for their function, the attainment of beauty, by arrangement of the divisions of light.",BY BEING STUDIOUS OF COLOR THEY ARE STUDIOUS OF DIVISION AND WHILE THE CHIAROSCURIST DEVOTES HIMSELF TO THE REPRESENTATION OF DEGREES OF FORCE IN ONE THING UNSEPARATED LIGHT THE COLORISTS HAVE FOR THEIR FUNCTION THE ATTAINMENT OF BEAUTY BY ARRANGEMENT OF THE DIVISIONS OF LIGHT
1188-133604-0003.flac,"My first and principal reason was that they enforced beyond all resistance. On any student who might attempt to copy them, this method of laying portions of distinct hue side by side.",MY FIRST AND PRINCIPAL REASON WAS THAT THEY ENFORCED BEYOND ALL RESISTANCE ON ANY STUDENT WHO MIGHT ATTEMPT TO COPY THEM THIS METHOD OF LAYING PORTIONS OF DISTINCT HUE SIDE BY SIDE
1188-133604-0004.flac,"Some of the touches, indeed, when the tint has been mixed with much water, have been laid in little drops or ponds so that the pigment might crystallize hard at the edge.",SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID IN LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTALLIZE HARD AT THE EDGE
1188-133604-0005.flac,which is the head of a parrot with a little flower in his beak from a picture of Carpazzius. One of his series of the life of St. George.,IT IS THE HEAD OF A PARROT WITH A LITTLE FLOWER IN HIS BEAK FROM A PICTURE OF CARPACCIO'S ONE OF HIS SERIES OF THE LIFE OF SAINT GEORGE
1188-133604-0006.flac,Then he comes to the beak of it.,THEN HE COMES TO THE BEAK OF IT
1188-133604-0007.flac,"The brown ground beneath is left for the most part. One touch of black is put for the hollow, two delicate lines of dark gray to find the outer curve, and one little quivering touch of white draws the inner edge of the mandible.",THE BROWN GROUND BENEATH IS LEFT FOR THE MOST PART ONE TOUCH OF BLACK IS PUT FOR THE HOLLOW TWO DELICATE LINES OF DARK GRAY DEFINE THE OUTER CURVE AND ONE LITTLE QUIVERING TOUCH OF WHITE DRAWS THE INNER EDGE OF THE MANDIBLE
1188-133604-0008.flac,"For believe me, the final philosophy of art can only ratify their opinion that the beauty of a cock robin is to be read, and of a grass plot to be green, and the best skill of art is an instantly seizing on the manifold deliciousness of light, which you can only see by precision of instantaneous touch.",FOR BELIEVE ME THE FINAL PHILOSOPHY OF ART CAN ONLY RATIFY THEIR OPINION THAT THE BEAUTY OF A COCK ROBIN IS TO BE RED AND OF A GRASS PLOT TO BE GREEN AND THE BEST SKILL OF ART IS IN INSTANTLY SEIZING ON THE MANIFOLD DELICIOUSNESS OF LIGHT WHICH YOU CAN ONLY SEIZE BY PRECISION OF INSTANTANEOUS TOUCH
1188-133604-0009.flac,"Now you will see in these studies that the moment the white isn't closed properly and harmonized with the other hues it becomes somehow more precious and pearly than the white paper. And then I am not afraid to leave a whole field of untreated white paper all rounded, being sure that even the little diamonds in the round window will tell us jewels if they are gradated justly.",NOW YOU WILL SEE IN THESE STUDIES THAT THE MOMENT THE WHITE IS INCLOSED PROPERLY AND HARMONIZED WITH THE OTHER HUES IT BECOMES SOMEHOW MORE PRECIOUS AND PEARLY THAN THE WHITE PAPER AND THAT I AM NOT AFRAID TO LEAVE A WHOLE FIELD OF UNTREATED WHITE PAPER ALL ROUND IT BEING SURE THAT EVEN THE LITTLE DIAMONDS IN THE ROUND WINDOW WILL TELL AS JEWELS IF THEY ARE GRADATED JUSTLY
1188-133604-0010.flac,"But in this vignette copied from Turner, you have the two principles brought out perfectly.",BUT IN THIS VIGNETTE COPIED FROM TURNER YOU HAVE THE TWO PRINCIPLES BROUGHT OUT PERFECTLY
1188-133604-0011.flac,"They are beyond all other works that I know existing, dependent for their effect on low subdued tones, their favorite choice in time of day being either dawn or twilight, and even their brightest sunsets produce chiefly out of grey paper.",THEY ARE BEYOND ALL OTHER WORKS THAT I KNOW EXISTING DEPENDENT FOR THEIR EFFECT ON LOW SUBDUED TONES THEIR FAVORITE CHOICE IN TIME OF DAY BEING EITHER DAWN OR TWILIGHT AND EVEN THEIR BRIGHTEST SUNSETS PRODUCED CHIEFLY OUT OF GRAY PAPER
1188-133604-0012.flac,It may be that a great colorless will use his utmost force of color as a singer his full power of voice But loud or low the virtue is in both cases always in refinement never in loudness,IT MAY BE THAT A GREAT COLORIST WILL USE HIS UTMOST FORCE OF COLOR AS A SINGER HIS FULL POWER OF VOICE BUT LOUD OR LOW THE VIRTUE IS IN BOTH CASES ALWAYS IN REFINEMENT NEVER IN LOUDNESS
1188-133604-0013.flac,It must remember be one or the other.,IT MUST REMEMBER BE ONE OR THE OTHER
1188-133604-0014.flac,Do not therefore think that the Gothic schools an easy one.,DO NOT THEREFORE THINK THAT THE GOTHIC SCHOOL IS AN EASY ONE
1188-133604-0015.flac,"The law of that school is that everything shall be seen clearly, or at least only in such misdorfaintness as shall be delightful. And I have no doubt that the best introduction to it would be the elementary practice of painting every study on a golden ground.",THE LAW OF THAT SCHOOL IS THAT EVERYTHING SHALL BE SEEN CLEARLY OR AT LEAST ONLY IN SUCH MIST OR FAINTNESS AS SHALL BE DELIGHTFUL AND I HAVE NO DOUBT THAT THE BEST INTRODUCTION TO IT WOULD BE THE ELEMENTARY PRACTICE OF PAINTING EVERY STUDY ON A GOLDEN GROUND
1188-133604-0016.flac,"This, at once, compels you to understand that the work is to be imaginative and decorative that it represents beautiful things in the clearest way, but not under existing conditions. And that, in fact, you are producing jewelers work rather than pictures.",THIS AT ONCE COMPELS YOU TO UNDERSTAND THAT THE WORK IS TO BE IMAGINATIVE AND DECORATIVE THAT IT REPRESENTS BEAUTIFUL THINGS IN THE CLEAREST WAY BUT NOT UNDER EXISTING CONDITIONS AND THAT IN FACT YOU ARE PRODUCING JEWELER'S WORK RATHER THAN PICTURES
1188-133604-0017.flac,That a style is restrained or severe does not mean that it is also erroneous.,THAT A STYLE IS RESTRAINED OR SEVERE DOES NOT MEAN THAT IT IS ALSO ERRONEOUS
1188-133604-0018.flac,"In all earthly Gothic art, indeed, you will find failure of this kind, especially the distortion and rigidity, which are in many respects painfully to be compared with the splendid repose of classic art.",IN ALL EARLY GOTHIC ART INDEED YOU WILL FIND FAILURE OF THIS KIND ESPECIALLY DISTORTION AND RIGIDITY WHICH ARE IN MANY RESPECTS PAINFULLY TO BE COMPARED WITH THE SPLENDID REPOSE OF CLASSIC ART
1188-133604-0019.flac,The large letter contains indeed entirely feeble and ill-drawn figures. That is merely childish and failing work of an inferior hand. It is not characteristic of Gothic or any other school.,THE LARGE LETTER CONTAINS INDEED ENTIRELY FEEBLE AND ILL DRAWN FIGURES THAT IS MERELY CHILDISH AND FAILING WORK OF AN INFERIOR HAND IT IS NOT CHARACTERISTIC OF GOTHIC OR ANY OTHER SCHOOL
1188-133604-0020.flac,"But, observe, you can only do this on one condition that of striving also to create in reality the beauty which you seek in imagination.",BUT OBSERVE YOU CAN ONLY DO THIS ON ONE CONDITION THAT OF STRIVING ALSO TO CREATE IN REALITY THE BEAUTY WHICH YOU SEEK IN IMAGINATION
1188-133604-0021.flac,"It will be wholly impossible for you to retain the tranquility of temper and felicity of faith necessary for noble, purest painting. Unless you are actively engaged in promoting the felicity and peace of practical life.",IT WILL BE WHOLLY IMPOSSIBLE FOR YOU TO RETAIN THE TRANQUILLITY OF TEMPER AND FELICITY OF FAITH NECESSARY FOR NOBLE PURIST PAINTING UNLESS YOU ARE ACTIVELY ENGAGED IN PROMOTING THE FELICITY AND PEACE OF PRACTICAL LIFE
1188-133604-0022.flac,"You must look at him in the face, fight him, conquer him. With what's scared you may, you need not think to keep out of the way of him.",YOU MUST LOOK AT HIM IN THE FACE FIGHT HIM CONQUER HIM WITH WHAT SCATHE YOU MAY YOU NEED NOT THINK TO KEEP OUT OF THE WAY OF HIM
1188-133604-0023.flac,"The colorist says, first of all, as my delicious parakeye was ruby, so this nasty Viper shall be black. And then is the question, can I round him off, even though he is black and make him slimy and yet springy and close down, clotted like a pool of black blood on the earth, all the same?",THE COLORIST SAYS FIRST OF ALL AS MY DELICIOUS PAROQUET WAS RUBY SO THIS NASTY VIPER SHALL BE BLACK AND THEN IS THE QUESTION CAN I ROUND HIM OFF EVEN THOUGH HE IS BLACK AND MAKE HIM SLIMY AND YET SPRINGY AND CLOSE DOWN CLOTTED LIKE A POOL OF BLACK BLOOD ON THE EARTH ALL THE SAME
1188-133604-0024.flac,"Nothing will be more precious to you, I think, in the practical study of art than the conviction, which will force itself on you more and more every hour. Of the way all things are bound together, little and great, in spirit and in matter.",NOTHING WILL BE MORE PRECIOUS TO YOU I THINK IN THE PRACTICAL STUDY OF ART THAN THE CONVICTION WHICH WILL FORCE ITSELF ON YOU MORE AND MORE EVERY HOUR OF THE WAY ALL THINGS ARE BOUND TOGETHER LITTLE AND GREAT IN SPIRIT AND IN MATTER
1188-133604-0025.flac,You know I've just been telling you how this school of materialism and clay involved itself at last and cloud and fire.,YOU KNOW I HAVE JUST BEEN TELLING YOU HOW THIS SCHOOL OF MATERIALISM AND CLAY INVOLVED ITSELF AT LAST IN CLOUD AND FIRE
1188-133604-0026.flac,"Here is an equally typical Greek school landscape by Wilson. Lost Holy and Golden Mist, the trees so slightly drawn that you don't know if they are trees or towers and no care for color whatsoever. Perfectly deceptive and marvelous effect of sunshine through the mist. Apollo and the Python.",HERE IS AN EQUALLY TYPICAL GREEK SCHOOL LANDSCAPE BY WILSON LOST WHOLLY IN GOLDEN MIST THE TREES SO SLIGHTLY DRAWN THAT YOU DON'T KNOW IF THEY ARE TREES OR TOWERS AND NO CARE FOR COLOR WHATEVER PERFECTLY DECEPTIVE AND MARVELOUS EFFECT OF SUNSHINE THROUGH THE MIST APOLLO AND THE PYTHON
1188-133604-0027.flac,"Now here's Rafael. Exactly between the two. Trees still drawn leaf by leaf, holy formal. But beautiful mist coming gradually into the distance.",NOW HERE IS RAPHAEL EXACTLY BETWEEN THE TWO TREES STILL DRAWN LEAF BY LEAF WHOLLY FORMAL BUT BEAUTIFUL MIST COMING GRADUALLY INTO THE DISTANCE
1188-133604-0028.flac,"While then last, here is Turner's, Greek school of the highest class, and you define his art absolutely as first the displaying intensely and with the sternest intellect of natural form as it is, and then the development of it with cloud and fire.",WELL THEN LAST HERE IS TURNER'S GREEK SCHOOL OF THE HIGHEST CLASS AND YOU DEFINE HIS ART ABSOLUTELY AS FIRST THE DISPLAYING INTENSELY AND WITH THE STERNEST INTELLECT OF NATURAL FORM AS IT IS AND THEN THE ENVELOPMENT OF IT WITH CLOUD AND FIRE
1188-133604-0029.flac,Only there are two sorts of cloud and fire.,ONLY THERE ARE TWO SORTS OF CLOUD AND FIRE
1188-133604-0030.flac,He knows them both.,HE KNOWS THEM BOTH
1188-133604-0031.flac,"There's one and there's another, the Dudley and the Flint.",THERE'S ONE AND THERE'S ANOTHER THE DUDLEY AND THE FLINT
1188-133604-0032.flac,It is only a pencil outline by Edward Bern Jones in illustration of the story of psyche. It is the introduction of psyche after all her troubles into heaven.,IT IS ONLY A PENCIL OUTLINE BY EDWARD BURNE JONES IN ILLUSTRATION OF THE STORY OF PSYCHE IT IS THE INTRODUCTION OF PSYCHE AFTER ALL HER TROUBLES INTO HEAVEN
1188-133604-0033.flac,"Every plant in the grass is set formally, grows perfectly, and may be realized completely.",EVERY PLANT IN THE GRASS IS SET FORMALLY GROWS PERFECTLY AND MAY BE REALIZED COMPLETELY
